,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,Hithadhoo,-0.6,73.0833,82.17,77,100,15.77,MV,1612599600
112,Kudahuvadhoo,2.6708,72.8944,81.43,73,86,12.35,MV,1612599602
113,Eureka,40.8021,-124.1637,48.0,92,16,1.99,US,1612599604
114,Port Elizabeth,-33.918,25.5701,77.0,78,75,11.5,ZA,1612599606
115,Hambantota,6.1241,81.1185,86.0,74,75,11.5,LK,1612599607
116,Lüderitz,-26.6481,15.1594,79.03,32,0,22.77,NA,1612599609
117,Mehamn,71.0357,27.8492,25.54,92,100,16.42,NO,1612599611
118,Dutlwe,-23.9833,23.9,66.87,93,100,13.71,BW,1612599612
119,Mogadishu,2.0371,45.3438,82.4,57,40,19.57,SO,1612599614
120,Mayumba,-3.432,10.6554,81.03,83,94,3.91,GA,1612599616
121,Betamcherla,15.4667,78.1667,86.41,22,66,5.64,IN,1612599618
122,Leningradskiy,69.3833,178.4167,-10.86,87,100,6.87,RU,1612599620
123,Budogoshch',59.2816,32.4707,4.37,91,52,9.69,RU,1612599622
124,Kerrville,30.0474,-99.1403,48.2,81,90,4.61,US,1612599624
125,Haines Junction,60.7522,-137.5108,-20.2,76,100,1.14,CA,1612599625
126,Laas,46.6166,10.7002,39.99,100,75,6.91,IT,1612599627
127,Lebu,-37.6167,-73.65,58.57,93,100,5.1,CL,1612599628
128,Souillac,-20.5167,57.5167,82.4,69,40,10.36,MU,1612599630
129,Constitución,-35.3333,-72.4167,56.19,91,36,4.07,CL,1612599356
130,Benguela,-12.5763,13.4055,79.99,67,31,4.68,AO,1612599633
131,Hāgere Hiywet,8.9833,37.85,76.1,24,98,1.68,ET,1612599635
132,Petropavlovsk-Kamchatskiy,53.0452,158.6483,15.8,67,40,4.47,RU,1612599637
133,Whitefish,48.4111,-114.3376,21.2,68,20,16.11,US,1612599367
134,Aguié,13.506,7.7786,68.88,23,20,18.54,NE,1612599641
135,Yuncheng,35.0231,110.9928,62.46,24,66,3.85,CN,1612599642
136,Thompson,55.7435,-97.8558,-29.2,68,75,12.66,CA,1612599644
137,Khatanga,71.9667,102.5,-35.03,79,9,5.55,RU,1612599646
138,Okha,53.5739,142.9478,-0.24,92,100,21.63,RU,1612599647
139,Korla,41.7597,86.1469,39.83,57,100,6.62,CN,1612599649
140,Zyryanka,65.75,150.85,-20.9,84,100,5.35,RU,1612599650
141,Agadez,19.75,10.25,67.01,24,28,6.67,NE,1612599628
142,Petropavl,54.8753,69.1628,37.4,87,40,11.18,KZ,1612599513
143,Arrondissement de Bastia,42.6667,9.3333,55.99,82,90,2.3,FR,1612599656
144,Khanpur,28.6453,70.6567,78.91,16,0,6.08,PK,1612599657
145,Nanning,22.8167,108.3167,78.8,44,0,6.71,CN,1612599659
146,Kinango,-4.1372,39.3153,87.8,58,40,5.75,KE,1612599661
147,Vágur,61.4732,-6.8119,37.33,77,99,23.53,FO,1612599662
148,Longyearbyen,78.2186,15.6401,23.0,68,75,10.36,SJ,1612599664
149,Coquimbo,-29.9533,-71.3436,60.8,82,90,8.05,CL,1612599667
150,Maragogi,-9.0122,-35.2225,75.33,88,5,5.14,BR,1612599669
151,Nizhniy Tsasuchey,50.5167,115.1333,6.08,87,0,9.44,RU,1612599670
152,Kamyshevatskaya,46.4132,37.9563,28.83,87,100,5.44,RU,1612599669
153,Birin,26.8865,88.0718,55.78,61,99,5.84,NP,1612599674
154,Hermanus,-34.4187,19.2345,77.0,67,0,5.01,ZA,1612599675
155,Olafsvik,64.8945,-23.7142,35.89,81,100,16.51,IS,1612599677
156,Landeck,47.1301,10.5636,30.2,100,75,6.91,AT,1612599678
157,Cayenne,4.9333,-52.3333,78.8,89,75,8.05,GF,1612599680
158,Pangnirtung,66.1451,-65.7125,19.96,81,89,3.22,CA,1612599683
159,Burnie,-41.0667,145.9167,64.0,85,19,5.01,AU,1612599522
160,Tezu,27.9167,96.1667,83.89,14,0,4.47,IN,1612599686
161,Codrington,-38.2667,141.9667,64.15,76,52,18.75,AU,1612599688
162,Upernavik,72.7868,-56.1549,12.94,79,100,4.43,GL,1612599690
163,Nanlong,31.3533,106.0631,61.68,38,0,5.03,CN,1612599691
164,Thio,-21.6167,166.2167,78.8,78,75,5.75,NC,1612599693
165,Mandera,3.9366,41.867,86.07,41,0,8.23,KE,1612599695
166,Montrose,38.4166,-108.2673,30.0,56,0,5.99,US,1612599696
167,Mubende,0.5606,31.39,83.84,28,95,6.24,UG,1612599698
168,Saint-Joseph,-21.3667,55.6167,86.0,62,0,10.36,RE,1612599699
169,Malanje,-9.5402,16.341,69.8,94,75,4.61,AO,1612599701
170,Mariehamn,60.0973,19.9348,14.0,85,90,2.3,AX,1612599559
171,Salmo,49.1999,-117.2689,30.2,93,91,6.91,CA,1612599704
172,Isangel,-19.55,169.2667,80.94,73,19,4.99,VU,1612599706
173,Poya,-21.35,165.15,78.28,80,26,3.29,NC,1612599707
174,Necochea,-38.5473,-58.7368,68.0,85,0,9.01,AR,1612599709
175,Alofi,-19.0595,-169.9187,77.0,94,100,3.44,NU,1612599711
176,Preobrazheniye,42.9019,133.9064,27.97,91,54,1.03,RU,1612599712
177,Glendive,47.1053,-104.7125,-2.99,77,75,13.8,US,1612599715
178,Meulaboh,4.1363,96.1285,86.02,64,64,7.72,ID,1612599716
179,Clyde River,70.4692,-68.5914,-11.2,84,90,5.75,CA,1612599718
180,Manadhoo,5.7667,73.3833,81.59,77,39,10.94,MV,1612599719
181,Qaqortoq,60.7167,-46.0333,15.8,62,0,5.14,GL,1612599721
182,Tongliao,43.6125,122.2653,19.99,93,46,1.32,CN,1612599723
183,Bantry,51.6833,-9.45,39.2,100,90,6.15,IE,1612599724
184,Ojinaga,29.5667,-104.4167,50.0,32,1,5.75,MX,1612599552
185,Cheremshan,54.6667,51.5,3.07,93,100,15.5,RU,1612599727
186,Samarai,-10.6167,150.6667,84.54,73,23,5.64,PG,1612599729
187,Mabaruma,8.2,-59.7833,71.65,97,68,2.93,GY,1612599731
188,Port Hardy,50.6996,-127.4199,41.0,87,90,5.75,CA,1612599732
189,Port Hedland,-20.3167,118.5667,87.8,58,40,16.11,AU,1612599734
190,Zhigansk,66.7697,123.3711,-39.53,78,60,7.54,RU,1612599735
191,Mount Darwin,-16.7725,31.5838,78.78,69,37,8.55,ZW,1612599737
192,Rocha,-34.4833,-54.3333,55.99,87,0,4.85,UY,1612599739
193,Mount Gambier,-37.8333,140.7667,62.6,77,90,17.27,AU,1612599740
194,Pandan,14.0453,124.1694,81.95,77,49,9.28,PH,1612599742
195,Maltahöhe,-24.8333,16.9833,85.78,21,0,13.22,NA,1612599743
196,Bengkulu,-3.8004,102.2655,85.24,66,79,11.1,ID,1612599576
197,Pacific Grove,36.6177,-121.9166,46.4,76,1,9.98,US,1612599747
198,Codajás,-3.8367,-62.0569,74.75,95,100,2.93,BR,1612599748
199,Oktyabr'skiy,54.4815,53.471,13.96,95,100,14.0,RU,1612599608
200,Velikiy Ustyug,60.7644,46.3106,-6.88,89,100,10.87,RU,1612599751
201,Panacan,9.2463,118.4082,86.0,74,40,13.8,PH,1612599753
202,Bilma,18.6853,12.9164,68.58,24,2,10.67,NE,1612599755
203,Stornoway,58.2093,-6.3865,37.4,75,75,18.41,GB,1612599756
204,Usisha,42.2511,47.3928,44.6,49,60,6.71,RU,1612599758
205,Hasaki,35.7333,140.8333,55.99,58,20,5.75,JP,1612599760
206,Praia da Vitória,38.7333,-27.0667,57.0,94,20,14.23,PT,1612599761
207,Koygorodok,60.445,50.9968,-0.02,92,100,10.22,RU,1612599610
208,Inta,66.0317,60.1659,-19.97,87,100,10.67,RU,1612599764
209,Pisco,-13.7,-76.2167,69.8,88,0,2.3,PE,1612599766
210,Buraidah,26.326,43.975,60.8,94,75,8.05,SA,1612599528
211,Dingle,10.9995,122.6711,83.23,73,100,11.88,PH,1612599769
212,Novopokrovka,49.8425,36.5477,19.4,73,75,13.42,UA,1612599771
213,Aranos,-24.1333,19.1167,82.33,43,0,9.62,NA,1612599772
214,Erzin,36.9559,36.2,60.01,54,0,1.01,TR,1612599774
215,La Rioja,42.25,-2.5,48.2,93,90,5.55,ES,1612599775
216,Porto Belo,-27.1578,-48.5531,68.0,73,0,5.75,BR,1612599777
217,Naze,28.3667,129.4833,64.4,94,75,3.44,JP,1612599779
218,Yaan,7.3833,8.5667,82.47,17,0,8.34,NG,1612599780
219,Saint-Philippe,-21.3585,55.7679,86.0,62,0,10.36,RE,1612599782
220,Landau,49.2075,8.1133,45.0,96,100,3.0,DE,1612599784
221,Isla Mujeres,21.2311,-86.731,78.01,88,1,11.5,MX,1612599785
222,Chimbote,-9.0853,-78.5783,70.45,72,100,2.37,PE,1612599787
223,Hong Kong,22.2855,114.1577,77.0,38,0,4.61,HK,1612599789
224,Daryāpur,20.9333,77.3333,86.97,19,0,2.91,IN,1612599790
225,Altamont,42.2068,-121.7372,27.0,93,1,1.68,US,1612599792
226,Tual,-5.6667,132.75,83.95,80,100,18.7,ID,1612599794
227,Alice Springs,-23.7,133.8833,88.0,23,75,14.97,AU,1612599795
228,Sawākin,19.1059,37.3321,74.39,34,0,2.66,SD,1612599797
229,Kholtoson,50.2981,103.3097,10.02,86,20,3.09,RU,1612599799
230,Socorro,31.6546,-106.3033,55.4,21,1,21.85,US,1612599800
231,Yantzaza,-3.8278,-78.7594,65.98,84,84,0.87,EC,1612599802
232,Lata,40.1629,-8.3327,51.01,97,100,2.3,PT,1612599803
233,Baiyin,36.5583,104.2081,44.6,11,0,4.47,CN,1612599805
234,Ust-Tsilma,65.441,52.1498,-11.52,87,65,8.93,RU,1612599807
235,Fethiye,36.6217,29.1164,55.4,82,0,5.75,TR,1612599647
236,Hopelchén,19.7667,-89.85,66.02,98,18,2.73,MX,1612599810
237,Berasia,23.6333,77.4333,74.98,22,0,7.49,IN,1612599812
238,Tuatapere,-46.1333,167.6833,56.61,83,6,1.57,NZ,1612599814
239,Campo,41.1852,-8.4649,50.0,76,20,9.22,PT,1612599815
240,Ola,59.5833,151.2833,3.79,88,100,18.5,RU,1612599817
241,Sisimiut,66.9395,-53.6735,17.33,76,100,11.86,GL,1612599819
242,Severo-Kuril'sk,50.6789,156.125,16.99,84,100,15.41,RU,1612599821
243,Barraute,48.4335,-77.6328,17.6,86,90,10.36,CA,1612599822
244,Obo,5.3998,26.4869,80.33,17,78,11.1,CF,1612599824
245,Cabo San Lucas,22.8909,-109.9124,60.01,51,5,3.51,MX,1612599825
246,Hastings,50.8552,0.5729,44.01,92,83,5.79,GB,1612599827
247,Nelson Bay,-32.7167,152.15,71.6,100,100,5.75,AU,1612599829
248,Nome,64.5011,-165.4064,24.8,93,90,14.97,US,1612599830
249,Saskylakh,71.9167,114.0833,-34.64,82,77,3.62,RU,1612599832
250,Egvekinot,66.3167,-179.1667,-5.98,91,100,11.9,RU,1612599833
251,Mountain Home,43.133,-115.6912,26.6,88,1,4.61,US,1612599536
252,Iquique,-20.2208,-70.1431,68.0,68,20,4.61,CL,1612599727
253,Zbarazh,49.6636,25.7762,24.46,83,100,4.14,UA,1612599838
254,Bambous Virieux,-20.3428,57.7575,84.0,69,40,10.36,MU,1612599840
255,Los Llanos de Aridane,28.6585,-17.9182,55.4,67,20,3.44,ES,1612599572
256,Sal Rei,16.1833,-22.9167,68.0,73,75,14.97,CV,1612599843
257,Rome,43.2128,-75.4557,26.6,54,90,7.25,US,1612599844
258,Chui,-33.6971,-53.4616,56.93,95,19,6.91,UY,1612599846
259,Sirte,31.2089,16.5887,65.55,41,100,11.23,LY,1612599848
260,Kruisfontein,-34.0033,24.7314,84.0,50,0,1.99,ZA,1612599849
261,Launceston,-41.45,147.1667,64.4,68,75,19.57,AU,1612599730
262,Vanimo,-2.6741,141.3028,81.25,74,87,3.87,PG,1612599852
263,Basco,20.4487,121.9702,72.9,82,54,18.9,PH,1612599854
264,Aykhal,66.0,111.5,-32.58,80,0,4.0,RU,1612599856
265,Kismayo,-0.3582,42.5454,82.17,66,87,13.04,SO,1612599857
266,Warrington,53.3925,-2.5802,41.0,93,90,8.05,GB,1612599859
267,Saint-Pierre,-21.3393,55.4781,86.0,62,0,10.36,RE,1612599861
268,Puerto Plata,19.7934,-70.6884,73.4,100,75,4.61,DO,1612599801
269,Perehonivka,48.5355,30.5192,20.79,91,100,2.42,UA,1612599864
270,Palmer,42.1584,-72.3287,28.0,86,1,3.44,US,1612599866
271,Port Augusta,-32.5,137.7667,75.0,68,0,25.32,AU,1612599868
272,Yantongshan,43.2919,126.0094,19.38,96,100,11.34,CN,1612599870
273,Disna,55.568,28.1971,0.14,92,71,7.94,BY,1612599871
274,Kaduy,59.2,37.15,-0.4,71,75,6.71,RU,1612599873
275,Narok,-1.0783,35.8601,70.38,53,94,4.34,KE,1612599875
276,Salinópolis,-0.6136,-47.3561,78.82,84,75,10.42,BR,1612599877
277,Sambava,-14.2667,50.1667,82.9,71,98,4.92,MG,1612599878
278,Revelstoke,50.9832,-118.2023,30.2,100,90,2.3,CA,1612599880
279,Moerai,-22.4333,-151.3333,80.8,75,0,15.57,PF,1612599881
280,Pangkalanbuun,-2.6833,111.6167,89.51,60,80,3.49,ID,1612599883
281,Mahibadhoo,3.7833,72.9667,81.48,73,53,11.03,MV,1612599885
282,Nabire,-3.3667,135.4833,83.93,69,100,3.62,ID,1612599887
283,Adrar,20.5022,-10.0711,54.37,56,100,10.94,MR,1612599888
284,Umm Kaddadah,13.6017,26.6876,65.8,27,0,22.08,SD,1612599890
285,Otane,-39.8833,176.6333,57.99,80,98,4.0,NZ,1612599892
286,Dhārchula,29.85,80.5333,61.88,29,0,5.75,IN,1612599893
287,Turaif,31.6725,38.6637,51.8,87,0,18.41,SA,1612599895
288,Turbat,26.0023,63.044,80.15,11,0,6.53,PK,1612599896
289,Leshukonskoye,64.8989,45.7622,-0.92,90,100,9.98,RU,1612599898
290,Kangaatsiaq,68.3065,-53.4641,13.62,81,100,12.59,GL,1612599900
291,Ville-Marie,47.3335,-79.433,10.4,85,20,8.05,CA,1612599901
292,Ust'-Uda,54.1742,103.0304,8.58,94,100,5.23,RU,1612599903
293,Tiksi,71.6872,128.8694,-18.63,88,100,2.04,RU,1612599904
294,Kiruna,67.8557,20.2251,19.4,93,90,8.05,SE,1612599906
295,Corvallis,44.5646,-123.262,39.99,100,40,3.44,US,1612599838
296,Corn Island,12.1694,-83.0418,80.44,80,100,11.07,NI,1612599909
297,Christchurch,-43.5333,172.6333,60.01,77,75,17.27,NZ,1612599627
298,Price,39.5994,-110.8107,32.0,51,90,16.11,US,1612599913
299,Stranda,62.3096,6.9358,15.01,68,0,6.15,NO,1612599915
300,Gbely,48.718,17.1163,39.99,86,100,6.76,SK,1612599916
301,Goba,7.0167,39.9833,67.26,32,19,5.19,ET,1612599918
302,Sarti,40.1,23.9833,59.58,73,0,0.25,GR,1612599919
303,Morondava,-20.2833,44.2833,84.61,74,96,4.25,MG,1612599921
304,Coffs Harbour,-30.3,153.1333,77.0,78,90,8.05,AU,1612599923
305,Puebloviejo,10.9938,-74.2844,79.0,73,100,4.0,CO,1612599924
306,Dikson,73.5069,80.5464,-29.72,85,87,10.0,RU,1612599926
307,Bethel,41.3712,-73.414,33.01,47,1,5.75,US,1612599927
308,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,66.0,78,0,1.99,AR,1612599929
309,Caxito,-8.5785,13.6643,80.6,74,75,4.61,AO,1612599931
310,Tsybuliv,49.0766,29.8461,19.94,91,98,0.94,UA,1612599932
311,Esperantina,-3.9017,-42.2336,69.17,97,3,3.38,BR,1612599934
312,Carutapera,-1.195,-46.02,78.01,83,100,7.61,BR,1612599935
313,Khovd,48.0056,91.6419,22.17,78,0,4.07,MN,1612599937
314,La Joya,18.6667,-99.4667,64.99,70,0,3.29,MX,1612599939
315,Zhanakorgan,43.9098,67.2495,45.48,67,100,17.52,KZ,1612599940
316,Pangody,65.85,74.4859,-12.51,89,100,13.67,RU,1612599942
317,Waspán,14.7419,-83.9717,70.32,96,80,2.08,NI,1612599943
318,Filingué,14.3521,3.3168,74.52,18,87,19.37,NE,1612599945
319,Hualmay,-11.0964,-77.6139,70.02,77,100,3.49,PE,1612599947
320,Yelizovo,53.1873,158.3805,15.8,67,40,4.47,RU,1612599849
321,Popondetta,-8.7537,148.2534,79.52,90,100,3.29,PG,1612599924
322,Vestmannaeyjar,63.4427,-20.2734,38.77,76,40,31.25,IS,1612599951
323,Atar,20.5169,-13.0499,51.15,77,40,7.56,MR,1612599953
324,Russell,32.3502,-85.1999,44.6,87,90,2.71,US,1612599955
325,Norman Wells,65.282,-126.8329,-45.4,73,40,3.44,CA,1612599956
326,Mandalgovi,45.7625,106.2708,12.38,81,0,7.72,MN,1612599958
327,La Sarre,48.8002,-79.1996,9.77,94,66,8.32,CA,1612599959
328,Qingyuan,23.7,113.0333,86.0,36,0,4.47,CN,1612599961
329,Erenhot,43.6475,111.9767,18.39,95,100,9.75,CN,1612599963
330,Eyl,7.9803,49.8164,81.54,55,0,15.88,SO,1612599964
331,Kavieng,-2.5744,150.7967,81.79,72,100,4.29,PG,1612599966
332,Tianguá,-3.7322,-40.9917,64.81,100,94,6.67,BR,1612599967
333,Irbeyskoye,55.6428,95.4522,18.48,94,99,3.8,RU,1612599969
334,Najrān,17.4924,44.1277,80.6,32,75,13.8,SA,1612599971
335,Vilhena,-12.7406,-60.1458,70.09,100,100,0.81,BR,1612599972
336,Batagay,67.6333,134.6333,-29.7,83,100,3.38,RU,1612599974
337,Neiafu,-18.65,-173.9833,81.03,84,100,24.63,TO,1612599975
338,Simões,-7.5989,-40.8178,69.98,68,99,4.97,BR,1612599977
339,Jalu,29.0331,21.5482,64.78,40,0,6.06,LY,1612599979
340,Esim,4.8699,-2.2405,81.7,81,1,7.63,GH,1612599980
341,Rundu,-17.9333,19.7667,78.8,67,99,1.01,NA,1612599982
342,Virbalis,54.6267,22.8169,5.83,94,26,3.06,LT,1612599984
343,Domoni,-12.2569,44.5319,88.0,57,100,0.67,KM,1612599986
344,Kindu,-2.95,25.95,84.42,65,100,1.28,CD,1612599987
345,Neuquén,-38.9516,-68.0591,66.2,72,0,14.97,AR,1612599989
346,Kazanskoye,55.6448,69.235,33.96,99,100,13.8,RU,1612599990
347,Ulaangom,49.9811,92.0667,3.99,89,95,1.81,MN,1612599993
348,Portland,45.5234,-122.6762,44.01,81,40,3.44,US,1612599994
349,Betafo,-19.8333,46.85,73.17,74,100,4.36,MG,1612599996
350,City of San Pedro,14.35,121.0167,86.0,62,75,8.05,PH,1612599997
351,Río Gallegos,-51.6226,-69.2181,44.6,65,0,9.22,AR,1612599999
352,San Quintín,30.4833,-115.95,55.81,86,35,6.87,MX,1612600001
353,Kutum,14.2,24.6667,59.61,32,0,15.08,SD,1612600002
354,Faanui,-16.4833,-151.75,81.5,67,14,7.85,PF,1612600004
355,Oltu,40.5498,42.0013,36.32,71,11,3.67,TR,1612600006
